player,position,team,age,minutes_played,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won,overall_0-100,value_(€)
D. Lazovic,DF,Serbia,32,27,14,0,0,1,0,7,12,0,0,76,7000000
D. Núñez,FW,Uruguay,23,243,85,0,0,3,1,35,56,0,2,76,17000000
Y. Sabaly,DF,Senegal,29,360,253,4,0,2,1,189,219,0,6,76,7000000
L. Majer,MF,Croatia,24,125,122,0,1,4,2,78,98,0,1,76,16500000
K. Diatta,FW,Senegal,23,180,88,1,0,3,1,60,73,0,0,76,15000000
K. Piatek,FW,Poland,27,27,9,0,0,1,0,2,6,0,0,76,10000000
P. Gueye,MF,Senegal,23,153,81,0,0,4,2,45,62,0,2,76,14500000
P. Cissé,DF,Senegal,27,108,49,1,0,0,0,28,37,0,0,76,10000000
W. Khazri,FW,Tunisia,31,81,36,0,1,5,3,13,20,0,0,76,7500000
J. Bednarek,DF,Poland,26,9,6,0,0,0,0,6,6,0,0,76,10500000
S. Rochet,GK,Uruguay,29,270,88,0,0,0,0,54,78,0,0,76,6500000
H. Martín,FW,Mexico,30,144,35,1,1,4,2,13,20,0,1,76,7500000
S. Amrabat,MF,Morocco,26,657,383,0,0,1,0,269,322,0,10,76,9500000
R. Alvarado,FW,Mexico,24,18,12,0,0,0,0,5,10,0,0,76,15000000
A. ivkovic,DF,Serbia,26,206,118,0,0,1,0,71,96,2,3,76,9500000
S. Dest,DF,United States,22,306,250,5,0,6,0,172,200,1,2,76,15500000
R. Doan,FW,Japan,24,216,95,4,2,4,3,36,56,0,5,76,12000000
T. Kehrer,DF,Germany,26,72,43,0,0,0,0,22,29,0,2,76,10000000
R. Rodríguez,DF,Switzerland,30,360,247,0,0,0,0,164,229,0,2,76,7000000
J. Maclaren,FW,Australia,29,54,15,0,0,0,0,7,15,0,0,76,8000000
J. Musiala,MF,Germany,19,261,163,19,0,12,3,85,105,1,1,76,17500000
T. Kubo,FW,Japan,21,90,23,0,0,0,0,6,11,0,1,75,13500000
D. Bronn,DF,Tunisia,27,162,104,0,0,1,0,75,98,0,2,75,6500000
A. Silva,FW,Portugal,27,27,14,0,0,0,0,9,11,0,0,75,4700000
M. Grujic,MF,Serbia,26,9,20,0,0,1,1,14,17,0,1,75,8000000
M. Livaja,FW,Croatia,29,243,83,0,1,6,4,35,58,1,2,75,6000000
E. Valencia,FW,Ecuador,33,251,98,2,3,8,3,40,57,0,0,75,4800000
S. Widmer,DF,Switzerland,29,261,208,1,0,1,0,127,169,1,6,75,5000000
M. Turner,GK,United States,28,360,137,0,0,0,0,101,128,0,0,75,5000000
A. Mitrovic,FW,Serbia,28,261,95,1,2,10,3,54,69,0,0,75,6500000
S. Lukic,MF,Serbia,26,243,182,0,0,1,0,143,162,0,0,75,8500000
A. Bah,DF,Denmark,25,45,65,0,0,2,0,37,53,0,4,75,8500000
N. Radonjic,DF,Serbia,26,62,36,0,0,2,0,15,24,0,0,75,7500000
V. Janssen,FW,Netherlands,28,90,32,1,0,2,0,16,20,0,0,75,6500000
B. Bariic,DF,Croatia,30,117,81,0,0,1,0,50,69,0,1,75,5000000
C. Rodríguez,MF,Mexico,25,36,36,2,0,0,0,21,30,0,0,75,11000000
T. Tomiyasu,DF,Japan,24,189,118,0,0,0,0,73,103,0,0,75,12000000
C. Fassnacht,FW,Switzerland,29,9,12,2,0,1,1,7,10,0,0,75,6000000
N. Füllkrug,FW,Germany,29,72,38,1,2,8,3,15,24,1,0,75,6000000
M. Aebischer,MF,Switzerland,25,18,4,0,0,0,0,2,4,0,0,75,8500000
C. Roberts,DF,Wales,27,198,138,0,0,0,0,92,118,0,3,75,7000000
N. Sliti,MF,Tunisia,30,117,67,5,0,1,0,29,51,0,1,75,5500000
R. Skov,DF,Denmark,26,18,24,0,0,0,0,17,21,0,0,75,7500000
N. Mendy,MF,Senegal,30,270,182,1,0,2,0,141,159,0,4,75,4800000
A. Hutchinson,MF,Canada,39,162,131,1,0,2,0,100,112,0,1,75,1100000
R. Vargas,FW,Switzerland,24,288,140,1,0,3,1,80,117,1,0,75,12500000
T. Minamino,FW,Japan,27,62,32,0,0,2,1,14,22,0,1,75,6500000
H. Sakai,MF,Japan,32,117,70,0,0,1,0,28,47,0,4,75,4099999
C. Montes,DF,Mexico,25,270,222,2,0,1,0,159,197,1,3,75,11500000
J. Campbell,FW,Costa Rica,30,270,179,6,0,1,0,104,138,0,5,75,5500000
J. Foyth,DF,Argentina,24,9,5,1,0,0,0,3,4,0,0,75,11500000
H. Wilson,MF,Wales,25,162,81,0,0,2,0,48,64,0,2,75,9000000
J. Álvarez,FW,Argentina,22,468,174,0,4,11,8,93,121,0,2,75,12500000
J. Timber,DF,Netherlands,21,387,361,4,0,0,0,283,313,0,6,75,11500000
J. Ayew,FW,Ghana,31,135,68,1,0,1,1,35,46,1,3,75,5500000
J. Gallardo,DF,Mexico,28,270,167,3,0,1,0,93,134,0,5,75,6000000
J. Gvardiol,DF,Croatia,20,693,601,1,1,2,1,464,519,0,6,75,12500000
J. Morris,FW,United States,28,0,5,0,0,0,0,1,4,0,0,74,4600000
K. Moore,FW,Wales,30,225,95,0,0,6,2,36,56,0,0,74,4300000
W. Hennessey,GK,Wales,35,171,68,0,0,0,0,50,66,0,0,74,725000
A. Gholizadeh,MF,IR Iran,26,198,86,4,0,1,0,46,72,1,0,74,5500000
G. Plata,MF,Ecuador,22,270,133,4,0,2,1,77,104,0,2,74,9500000
K. Itakura,DF,Japan,25,270,150,0,0,3,1,98,111,1,5,74,6000000
K. Ansarifard,FW,IR Iran,32,36,11,0,0,1,0,4,5,0,0,74,3600000
M. Jensen,MF,Denmark,26,81,76,1,0,2,1,52,67,0,0,74,5500000
W. Zimmerman,DF,United States,29,279,274,0,0,1,0,217,244,0,2,74,4200000
C. Nørgaard,MF,Denmark,28,9,15,0,0,0,0,14,15,0,0,74,4600000
B. Rahman,DF,Ghana,28,180,121,1,0,0,0,66,100,0,3,74,4500000
S. Boufal,FW,Morocco,29,477,199,14,0,7,1,99,133,0,5,74,4500000
T. Lamptey,DF,Ghana,22,99,50,0,0,1,0,21,34,0,1,74,9000000
C. Larin,FW,Canada,27,135,44,1,0,3,1,21,29,0,0,74,5000000
U. Antuna,FW,Mexico,25,81,33,0,0,2,1,12,20,0,3,74,6500000
D. Ward,GK,Wales,29,90,42,0,0,0,0,24,39,0,0,74,3000000
T. Almada,MF,Argentina,21,9,15,0,0,0,0,13,13,0,0,74,10000000
T. Weah,FW,United States,22,315,132,2,1,5,3,90,108,0,0,74,8500000
A. Jahanbakhsh,MF,IR Iran,29,62,27,1,0,3,0,11,17,0,1,73,3200000
V. Nelsson,DF,Denmark,24,90,79,0,0,0,0,69,74,0,0,73,6500000
S. Szymanski,MF,Poland,23,135,61,1,0,0,0,26,41,0,3,73,0
S. Mitrovic,DF,Serbia,32,36,22,0,0,0,0,18,21,0,0,73,2100000
M. Hongla,MF,Cameroon,24,117,73,2,0,1,1,49,61,0,0,73,6500000
F. Mladenovic,DF,Serbia,31,62,29,0,0,1,0,20,25,0,0,73,3000000
Y. Nagatomo,MF,Japan,36,206,123,3,0,0,0,78,109,0,2,73,1100000
M. Yoshida,DF,Japan,34,387,277,1,0,0,0,198,232,1,4,73,2000000
M. Mohammadi,DF,IR Iran,29,198,90,0,0,0,0,44,68,0,3,73,2900000
M. Degenek,DF,Australia,28,180,123,0,0,0,0,67,101,0,4,73,0
M. Veljkovic,DF,Serbia,27,225,127,0,0,0,0,98,112,0,1,73,3600000
N. Schlotterbeck,DF,Germany,23,90,135,0,0,0,0,110,123,0,3,73,6500000
T. Asano,FW,Japan,28,162,49,0,1,8,2,21,28,0,0,73,3300000
A. Cornelius,FW,Denmark,29,90,48,1,0,5,2,21,34,0,0,73,3100000
N. Molina,DF,Argentina,24,567,398,1,1,2,1,291,358,1,4,73,6500000
R. Ibarra,MF,Ecuador,28,72,23,1,0,2,1,10,14,0,0,73,2900000
C. Goodwin,MF,Australia,31,234,118,0,1,2,1,58,95,1,3,73,3000000
J. Castelletto,DF,Cameroon,27,180,109,1,1,1,1,66,82,1,3,73,3300000
K. Glik,DF,Poland,34,360,167,0,0,3,0,118,130,0,1,73,1500000
K. Swiderski,FW,Poland,25,45,14,0,0,0,0,7,7,0,1,73,4700000
K. Jakic,FW,Croatia,25,0,0,0,0,0,0,0,0,0,0,73,4200000
H. Morita,MF,Japan,27,288,192,0,0,3,1,129,157,0,0,73,3600000
B. Bereszynski,DF,Poland,30,342,197,1,0,0,0,122,156,0,2,73,2800000
F. Torres,FW,Spain,22,216,115,1,2,3,1,59,85,0,0,73,7000000
A. Vega,FW,Mexico,25,189,85,1,0,9,2,40,56,0,0,73,7000000
E. Fernández,MF,Argentina,21,567,533,3,1,8,3,412,471,1,15,73,6500000
E. Gutiérrez,MF,Mexico,27,45,34,0,0,0,0,24,29,0,1,73,4000000
D. Raum,DF,Germany,24,243,229,2,0,0,0,153,195,1,3,73,6000000
K. Mitoma,MF,Japan,25,162,100,2,0,1,1,50,70,1,2,73,4600000
S. Amallah,MF,Morocco,26,405,145,1,0,2,0,65,87,0,9,73,4600000
A. Robinson,DF,United States,25,360,288,4,0,0,0,173,241,0,4,73,6000000
J. Rodon,DF,Wales,25,270,192,0,0,0,0,152,169,0,2,72,4900000
A. Tanaka,MF,Japan,24,171,84,0,1,1,1,48,69,0,1,72,3500000
C. Mepham,DF,Wales,25,270,199,0,0,0,0,141,172,0,6,72,4900000
K. Bielik,MF,Poland,24,216,129,1,0,2,0,86,99,0,3,72,4900000
A. Franco,MF,Ecuador,24,45,16,0,0,0,0,10,11,0,0,72,4400000
F. Frei,MF,Switzerland,33,27,16,0,0,0,0,9,14,0,1,72,1600000
S. Moore,DF,United States,26,18,27,0,0,0,0,14,21,0,2,72,3100000
C. Bassogog,MF,Cameroon,27,27,13,2,0,0,0,5,9,0,0,72,2800000
L. Cavallini,FW,Canada,29,18,3,0,0,0,0,2,2,0,0,72,2400000
K. Sulemana,FW,Ghana,20,54,28,1,0,1,1,10,19,0,0,72,5500000
K. Acosta,MF,United States,27,45,16,0,0,0,0,10,12,0,2,72,3100000
M. Yamane,DF,Japan,28,62,36,1,0,0,0,24,33,0,0,72,2300000
N. Okafor,FW,Switzerland,22,45,29,0,0,1,0,17,22,0,0,72,5500000
I. Ilic,MF,Serbia,21,36,23,0,0,0,0,19,20,0,0,72,5000000
D. Yedlin,DF,United States,29,36,32,0,0,0,0,19,28,0,1,72,2300000
B. Mbeumo,FW,Cameroon,23,234,106,1,0,2,2,49,85,0,0,72,5500000
J. Osorio,MF,Canada,30,117,68,1,0,1,0,52,57,0,1,72,2300000
A. Olsen,FW,Denmark,22,135,76,0,0,4,1,43,63,0,0,72,5500000
C. Gruezo,MF,Ecuador,27,45,19,0,0,0,0,15,15,0,2,72,2800000
J. Hoilett,FW,Canada,32,162,78,2,0,4,0,43,59,0,4,72,1900000
S. Taniguchi,DF,Japan,31,206,105,0,0,2,0,72,85,0,0,72,2000000
J. Cifuentes,MF,Ecuador,23,62,52,0,0,1,1,33,44,0,2,71,3600000
J. Sargent,FW,United States,22,153,48,2,0,4,1,29,33,0,0,71,4200000
B. Aaronson,MF,United States,22,108,78,2,0,1,0,41,50,0,2,71,4099999
O. Ntcham,MF,Cameroon,26,27,14,2,0,1,1,11,12,0,0,71,2700000
P. Frankowski,MF,Poland,27,243,97,2,0,1,0,49,74,0,4,71,2200000
R. Laryea,DF,Canada,27,162,73,2,0,2,0,35,47,0,1,71,2100000
H. Souttar,DF,Australia,24,360,213,0,0,1,0,138,167,0,0,71,3900000
J. Lindstrøm,MF,Denmark,22,198,81,4,0,3,1,36,52,0,1,71,4600000
G. Mensah,DF,Ghana,24,90,59,0,0,0,0,36,46,1,1,71,3600000
S. Moharrami,DF,IR Iran,26,90,32,1,0,0,0,18,26,0,1,71,2300000
E. Fernandes,FW,Switzerland,26,144,95,0,0,1,0,65,82,0,1,71,2600000
Y. Musah,MF,United States,20,342,221,4,0,4,1,151,182,0,6,71,4000000
M. Kaye,MF,Canada,28,62,68,0,0,1,0,51,61,0,1,71,2400000
M. Leckie,MF,Australia,31,333,157,1,1,1,1,67,103,1,4,71,1800000
I. Chair,MF,Morocco,25,45,18,0,0,0,0,13,15,0,0,71,3000000
D. Kyereh,MF,Ghana,26,36,31,2,0,0,0,18,23,0,2,71,2800000
I. Ndiaye,FW,Senegal,22,135,44,6,0,2,0,25,32,1,0,71,4200000
K. Grosicki,MF,Poland,34,0,6,1,0,0,0,4,6,0,0,71,1200000
E. Cömert,DF,Switzerland,24,45,50,0,0,0,0,38,42,0,0,71,3900000
R. Matarrita,DF,Costa Rica,28,27,30,1,0,0,0,18,29,0,0,71,2000000
L. Openda,FW,Belgium,22,9,9,1,0,0,0,3,5,0,0,71,4200000
I. Jakobs,DF,Senegal,23,279,184,0,0,1,0,107,156,1,0,71,4200000
A. Hrustic,MF,Australia,26,62,32,1,0,1,0,17,21,0,0,71,2600000
P. Hincapié,DF,Ecuador,20,270,227,0,0,0,0,168,200,0,4,70,3200000
F. Pellistri,MF,Uruguay,20,180,66,0,0,1,0,32,46,0,1,70,4099999
D. Odoi,DF,Ghana,34,9,7,0,0,0,0,2,2,0,0,70,825000
S. Gonda,GK,Japan,33,387,124,0,0,0,0,68,113,0,0,70,800000
J. Allen,MF,Wales,32,90,51,0,0,2,0,30,36,0,1,70,1300000
A. Laïdouni,MF,Tunisia,26,243,156,1,0,2,0,99,123,1,3,70,2200000
P. Ciss,MF,Senegal,28,144,74,1,0,1,0,46,57,0,3,70,1800000
J. Ferreira,FW,United States,21,45,24,0,0,0,0,16,19,0,0,70,3800000
A. Abdi,DF,Tunisia,28,189,152,1,0,0,0,72,116,0,5,70,1700000
A. Beiranvand,GK,IR Iran,30,108,34,0,0,0,0,20,31,0,0,70,1400000
O. Bukari,MF,Ghana,24,62,29,0,1,3,1,14,20,0,0,70,3200000
A. Jedrzejczyk,DF,Poland,35,18,5,0,0,0,0,3,4,0,0,70,750000
D. Szymanski,MF,Poland,27,27,9,0,0,0,0,8,8,0,0,70,2100000
M. Estrada,FW,Ecuador,26,225,71,2,0,3,0,28,50,0,0,70,2400000
D. Maeda,FW,Japan,25,180,31,0,1,2,1,8,17,0,2,70,2400000
Y. Soma,FW,Japan,25,81,26,1,0,3,0,11,19,0,0,70,2300000
F. Calvo,DF,Costa Rica,30,180,121,2,0,1,0,86,104,0,4,70,1400000
C. Fai,DF,Cameroon,30,270,169,0,0,1,0,99,146,0,2,70,1400000
G. Ondoua,MF,Cameroon,27,45,25,0,0,0,0,17,19,0,1,70,2200000
M. Kanno,MF,Saudi Arabia,28,270,184,5,0,6,1,119,147,0,2,70,1900000
S. Ghoddos,MF,IR Iran,29,45,24,0,0,1,0,15,20,0,0,69,1500000
S. Abdulhamid,DF,Saudi Arabia,23,270,150,2,0,1,0,88,122,0,2,69,3000000
A. Canobbio,MF,Uruguay,24,9,11,0,0,0,0,5,7,0,1,69,2200000
Z. Aboukhlal,FW,Morocco,22,81,26,0,1,3,2,7,14,0,1,69,3100000
J. Méndez,MF,Ecuador,25,180,150,0,0,0,0,128,140,0,2,69,2600000
A. Mabil,MF,Australia,27,27,18,0,0,0,0,10,14,0,0,69,1700000
Y. Meriah,DF,Tunisia,29,270,208,2,0,1,0,139,171,0,2,69,1500000
M. Pouraliganji,DF,IR Iran,30,270,156,0,0,2,0,92,128,0,2,69,1200000
A. Behich,DF,Australia,32,360,249,8,0,2,0,152,203,0,3,69,1200000
B. Johnson,FW,Wales,21,90,33,0,0,3,1,10,17,0,0,69,3400000
T. Buchanan,MF,Canada,23,261,131,7,0,5,0,61,89,1,1,69,3100000
S. Pavlovic,DF,Serbia,21,234,186,2,1,2,1,121,156,0,2,69,2900000
K. Baccus,MF,Australia,24,117,59,0,0,1,0,26,41,0,1,69,1700000
D. Wotherspoon,MF,Canada,32,18,9,1,0,0,0,4,7,0,0,69,1200000
T. Ream,DF,United States,35,360,305,2,0,1,0,245,276,0,3,69,675000
L. Chávez,MF,Mexico,26,270,171,2,1,10,4,99,139,0,0,69,2000000
M. Dräger,DF,Tunisia,26,135,70,1,0,4,0,36,50,0,3,69,1900000
J. Irvine,MF,Australia,29,351,170,0,0,3,0,103,128,0,2,68,1200000
A. Onana,MF,Belgium,21,108,74,1,0,2,0,58,64,0,1,68,2700000
A. Semenyo,FW,Ghana,22,18,6,0,0,1,0,1,2,0,0,68,2700000
A. Zaroury,FW,Morocco,22,27,15,1,0,0,0,8,13,0,0,68,2700000
J. Kaminski,MF,Poland,20,234,88,2,0,4,1,37,61,0,1,68,2900000
S. Adekugbe,DF,Canada,27,99,77,1,0,0,0,63,71,0,0,68,1500000
K. Álvarez,DF,Mexico,23,72,38,1,0,0,0,19,29,0,0,68,2600000
A. Ueda,FW,Japan,24,45,23,0,0,0,0,7,12,0,0,68,2500000
F. Karacic,DF,Australia,26,90,69,0,0,3,0,33,54,0,1,68,0
K. Miller,DF,Canada,25,270,229,1,0,0,0,186,205,0,4,68,1600000
N. Williams,FW,Spain,20,144,88,5,0,1,0,50,63,0,2,68,2800000
B. Wright,DF,Australia,30,18,5,0,0,0,0,1,3,0,0,68,1100000
Gavi,MF,Spain,18,288,183,3,1,1,1,133,154,0,4,68,3000000
N. Atkinson,DF,Australia,23,81,43,0,0,0,0,27,34,0,3,68,2600000
E. Ampadu,MF,Wales,22,251,178,2,0,1,0,108,144,0,3,68,2700000
K. Taylor,MF,Netherlands,20,9,9,0,0,0,0,8,8,0,0,68,2900000
A. Johnston,DF,Canada,24,270,209,1,0,2,1,147,186,0,3,67,1500000
J. Porozo,DF,Ecuador,22,99,58,0,0,1,0,39,44,0,2,67,2100000
J. utalo,DF,Croatia,22,90,73,0,0,0,0,62,66,0,0,67,2400000
M. Duke,FW,Australia,31,270,96,1,1,7,4,36,63,0,0,67,0
Vitinha,MF,Portugal,22,117,118,1,0,2,2,100,108,0,2,67,2500000
S. Ezatolahi,MF,IR Iran,26,216,115,0,0,3,1,66,88,0,1,67,1500000
S. Thomas,MF,Wales,23,0,6,0,0,0,0,3,4,0,1,67,2300000
M. Hosseini,DF,IR Iran,26,270,137,0,0,0,0,86,106,0,4,67,1300000
M. Caicedo,MF,Ecuador,21,270,173,0,1,3,1,126,153,0,5,66,850000
J. Morrell,MF,Wales,25,36,24,0,0,0,0,12,14,0,2,66,1300000
H. Bahebri,MF,Saudi Arabia,30,0,7,0,0,0,0,4,7,1,0,66,850000
L. Millar,DF,Canada,23,9,9,0,0,0,0,4,9,0,0,66,1900000
X. Simons,FW,Netherlands,19,9,11,0,0,0,0,6,10,0,0,66,2200000
I. Jebali,FW,Tunisia,30,180,60,1,0,3,1,25,35,0,3,66,850000
H. Wright,FW,United States,24,135,44,0,1,6,2,20,27,0,0,66,1900000
E. Ebosse,DF,Cameroon,23,90,49,0,0,0,0,34,38,0,2,65,1500000
D. Pereira,DF,Portugal,31,90,87,1,0,0,0,68,78,0,2,65,1500000
M. Skóras,MF,Poland,22,45,12,0,0,1,0,8,9,0,0,65,1800000
A. Slimane,MF,Tunisia,21,144,72,0,0,1,1,29,46,0,1,65,1600000
C. Wooh,DF,Cameroon,21,90,45,0,0,1,0,25,31,0,0,65,1600000
B. Oviedo,DF,Costa Rica,32,261,112,0,0,0,0,67,89,0,5,65,525000
W. Kechrida,DF,Tunisia,27,108,77,0,0,0,0,44,69,0,3,64,800000
J. Staniic,DF,Croatia,22,90,56,0,0,1,0,36,49,0,3,64,1300000
F. Rieder,FW,Switzerland,20,72,32,1,0,0,0,13,26,0,2,64,1500000
K. Rowles,DF,Australia,24,360,231,0,0,0,0,165,187,0,2,63,900000
N. Zalewski,MF,Poland,20,62,29,0,0,0,0,15,17,0,0,63,1100000
A. Noppert,GK,Netherlands,28,477,205,0,0,0,0,157,192,0,0,63,500000
D. Reasco,FW,Ecuador,23,27,3,0,0,0,0,2,2,0,0,63,1100000
H. Mejbri,MF,Tunisia,19,9,4,0,0,0,0,2,2,0,0,62,1300000
A. Ounahi,MF,Morocco,22,567,328,10,0,6,1,216,265,0,8,62,975000
H. Ito,DF,Japan,23,45,64,0,0,0,0,58,63,0,0,62,825000
D. Lovren,DF,Croatia,33,603,515,0,0,4,0,405,460,1,2,60,550000
J. Sarmiento,MF,Ecuador,20,81,44,2,0,1,1,23,37,0,1,59,525000
R. Colwill,MF,Wales,20,9,6,0,0,1,0,2,4,0,0,59,575000
