player,position,team,age,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won
Kylian Mbappé,FW,France,23,325,25,8,29,11,173,229,2,0
Lionel Messi,FW,Argentina,35,460,15,7,27,13,301,372,3,3
Julián Álvarez,FW,Argentina,22,174,0,4,11,8,93,121,0,2
Olivier Giroud,FW,France,36,111,0,4,16,6,48,74,0,0
Bukayo Saka,FW,England,21,147,2,3,7,5,84,108,0,4
Cody Gakpo,FW,Netherlands,23,205,5,3,5,3,93,148,0,2
Enner Valencia,FW,Ecuador,33,98,2,3,8,3,40,57,0,0
Gonçalo Ramos,FW,Portugal,21,55,0,3,7,5,25,31,1,1
Marcus Rashford,FW,England,25,92,5,3,11,6,49,66,0,0
Richarlison,FW,Brazil,25,97,0,3,8,4,40,58,0,2
Álvaro Morata,FW,Spain,30,58,1,3,8,5,28,41,1,1
Aleksandar Mitrović,FW,Serbia,28,95,1,2,10,3,54,69,0,0
Andrej Kramarić,FW,Croatia,31,215,4,2,10,4,153,176,0,2
Breel Embolo,FW,Switzerland,25,92,2,2,6,3,46,62,0,0
Bruno Fernandes,FW,Portugal,28,266,3,2,7,2,188,233,3,3
Cho Guesung,FW,Korea Republic,24,88,0,2,9,5,40,63,0,0
Ferrán Torres,FW,Spain,22,115,1,2,3,1,59,85,0,0
Giorgian De Arrascaeta,MF,Uruguay,28,69,0,2,3,3,32,52,0,1
Harry Kane,FW,England,29,138,4,2,10,5,62,98,3,1
Kai Havertz,FW,Germany,23,46,0,2,5,3,27,34,0,1
Kudus Mohammed,FW,Ghana,22,118,10,2,8,4,62,87,0,4
Mehdi Taremi,FW,IR Iran,30,123,1,2,5,1,58,78,1,3
Neymar,MF,Brazil,30,203,6,2,11,6,121,153,0,0
Niclas Füllkrug,FW,Germany,29,38,1,2,8,3,15,24,1,0
Rafael Leão,FW,Portugal,23,63,6,2,5,2,32,47,0,0
Ritsu Doan,FW,Japan,24,95,4,2,4,3,36,56,0,5
Robert Lewandowski,FW,Poland,34,153,5,2,10,2,61,91,1,2
Salem Al-Dawsari,MF,Saudi Arabia,31,146,2,2,6,4,86,111,0,4
Vincent Aboubakar,FW,Cameroon,30,50,5,2,6,3,20,31,1,0
Wout Weghorst,FW,Netherlands,30,22,0,2,2,2,9,15,0,0
Youssef En-Nesyri,FW,Morocco,25,127,5,2,9,3,50,81,0,2
Achraf Dari,DF,Morocco,23,139,0,1,1,1,99,111,0,0
Adrien Rabiot,MF,France,27,350,2,1,9,4,237,284,1,9
Alexis Mac Allister,MF,Argentina,23,332,4,1,7,4,234,265,1,4
Alphonso Davies,MF,Canada,22,156,11,1,3,1,82,114,0,1
Andreas Christensen,DF,Denmark,26,280,0,1,2,1,237,251,0,2
André Ayew,MF,Ghana,33,61,0,1,1,1,30,37,0,1
Ao Tanaka,MF,Japan,24,84,0,1,1,1,48,69,0,1
Aurélien Tchouaméni,MF,France,22,533,3,1,6,2,426,474,0,4
Bamba Dieng,FW,Senegal,22,32,0,1,4,1,9,16,0,1
Boulaye Dia,FW,Senegal,26,81,1,1,8,3,39,53,0,0
Bruno Petković,FW,Croatia,28,101,2,1,1,1,40,75,0,4
Carlos Soler,MF,Spain,25,88,1,1,4,1,78,83,0,0
Casemiro,MF,Brazil,30,302,1,1,9,3,208,251,0,4
Christian Pulisic,FW,United States,24,187,4,1,9,5,83,141,2,0
Craig Goodwin,MF,Australia,31,118,0,1,2,1,58,95,1,3
Cristiano Ronaldo,FW,Portugal,37,116,0,1,10,2,68,90,0,0
Daizen Maeda,FW,Japan,25,31,0,1,2,1,8,17,0,2
Daley Blind,DF,Netherlands,32,339,1,1,5,2,252,300,1,9
Dani Olmo,FW,Spain,24,257,4,1,12,6,162,198,1,3
Davy Klaassen,MF,Netherlands,29,96,0,1,2,1,59,77,2,2
Denzel Dumfries,DF,Netherlands,26,274,0,1,1,1,149,217,2,5
Dušan Vlahović,FW,Serbia,22,19,0,1,3,3,6,11,0,0
Enzo Fernández,MF,Argentina,21,533,3,1,8,3,412,471,1,15
Eric Maxim Choupo-Moting,FW,Cameroon,33,87,3,1,3,2,44,66,0,2
Famara Diedhiou,FW,Senegal,30,24,0,1,3,1,10,14,0,0
Frenkie de Jong,MF,Netherlands,25,408,3,1,2,1,323,364,1,5
Gareth Bale,FW,Wales,33,68,1,1,1,1,33,53,0,1
Gavi,MF,Spain,18,183,3,1,1,1,133,154,0,4
Haji Wright,FW,United States,24,44,0,1,6,2,20,27,0,0
Hakim Ziyech,FW,Morocco,29,386,12,1,10,2,211,306,1,7
Henry Martín,FW,Mexico,30,35,1,1,4,2,13,20,0,1
Hwang Hee-chan,MF,Korea Republic,26,84,3,1,6,5,45,59,0,1
Ismaila Sarr,FW,Senegal,24,133,9,1,10,1,52,81,0,2
Ivan Perišić,FW,Croatia,33,378,6,1,16,4,202,292,3,4
Jack Grealish,FW,England,27,71,3,1,1,1,48,54,0,1
Jean-Charles Castelletto,DF,Cameroon,27,109,1,1,1,1,66,82,1,3
Jordan Henderson,MF,England,32,179,0,1,2,1,137,163,0,2
João Félix,FW,Portugal,23,153,2,1,11,3,91,122,2,2
Joško Gvardiol,DF,Croatia,20,601,1,1,2,1,464,519,0,6
Juan Pablo Vargas,DF,Costa Rica,27,41,0,1,2,2,19,24,0,3
Jude Bellingham,MF,England,19,324,6,1,5,3,235,265,1,15
Kalidou Koulibaly,DF,Senegal,31,260,0,1,2,1,156,205,0,9
Keysher Fuller,DF,Costa Rica,28,92,1,1,3,2,44,63,0,4
Kim Young-gwon,DF,Korea Republic,32,232,0,1,2,1,178,209,0,2
Lovro Majer,MF,Croatia,24,122,0,1,4,2,78,98,0,1
Lucas Paquetá,MF,Brazil,25,229,0,1,4,4,169,202,1,5
Luis Chávez,MF,Mexico,26,171,2,1,10,4,99,139,0,0
Manuel Akanji,DF,Switzerland,27,287,0,1,4,1,229,259,0,2
Marco Asensio,FW,Spain,26,150,0,1,10,2,89,119,0,1
Marko Livaja,FW,Croatia,29,83,0,1,6,4,35,58,1,2
Mathew Leckie,MF,Australia,31,157,1,1,1,1,67,103,1,4
Memphis,FW,Netherlands,28,165,2,1,10,5,93,123,0,1
Michy Batshuayi,FW,Belgium,29,42,1,1,6,2,16,24,0,0
Mislav Oršić,FW,Croatia,29,81,1,1,9,2,40,54,2,3
Mitchell Duke,FW,Australia,31,96,1,1,7,4,36,63,0,0
Mohammed Muntari,FW,Qatar,28,28,0,1,3,1,17,19,0,2
Mohammed Salisu,DF,Ghana,23,184,0,1,2,1,109,151,0,1
Moisés Caicedo,MF,Ecuador,21,173,0,1,3,1,126,153,0,5
Nahuel Molina,DF,Argentina,24,398,1,1,2,1,291,358,1,4
Osman Bukari,MF,Ghana,24,29,0,1,3,1,14,20,0,0
Paik Seung-ho,MF,Korea Republic,25,30,0,1,1,1,20,27,0,2
Pepe,DF,Portugal,39,330,1,1,3,1,243,295,0,0
Phil Foden,FW,England,22,143,3,1,6,1,90,117,2,1
Piotr Zieliński,MF,Poland,28,178,1,1,3,2,124,153,0,5
Raheem Sterling,FW,England,28,68,2,1,1,1,45,55,1,1
Ramin Rezaeian,DF,IR Iran,32,130,1,1,2,1,73,105,0,5
Randal Kolo Muani,FW,France,24,76,3,1,4,2,25,44,0,5
Raphaël Guerreiro,DF,Portugal,28,207,2,1,3,1,156,185,2,2
Remo Freuler,MF,Switzerland,30,197,0,1,3,1,127,154,0,5
Ricardo Horta,FW,Portugal,28,55,0,1,3,2,31,46,0,1
Romain Saïss,DF,Morocco,32,248,1,1,1,1,159,199,0,2
Roozbeh Cheshmi,DF,IR Iran,29,19,0,1,1,1,7,11,0,0
Saleh Al-Shehri,FW,Saudi Arabia,29,73,0,1,2,2,29,47,0,1
Serge Gnabry,FW,Germany,27,148,3,1,12,4,86,118,1,2
Sergej Milinković-Savić,MF,Serbia,27,158,3,1,3,1,87,120,0,1
Strahinja Pavlović,DF,Serbia,21,186,2,1,2,1,121,156,0,2
Takuma Asano,FW,Japan,28,49,0,1,8,2,21,28,0,0
Theo Hernández,DF,France,25,383,2,1,5,2,289,339,2,13
Timothy Weah,FW,United States,22,132,2,1,5,3,90,108,0,0
Vinicius Júnior,FW,Brazil,22,132,5,1,9,4,68,90,2,1
Wahbi Khazri,FW,Tunisia,31,36,0,1,5,3,13,20,0,0
Xherdan Shaqiri,FW,Switzerland,31,111,0,1,4,2,67,104,1,0
Yeltsin Tejeda,MF,Costa Rica,30,128,0,1,2,2,78,99,1,2
Zakaria Aboukhlal,FW,Morocco,22,26,0,1,3,2,7,14,0,1
Ángel Di María,MF,Argentina,34,201,13,1,6,3,130,168,1,1
İlkay Gündoğan,MF,Germany,32,187,2,1,5,2,150,168,0,1
Aaron Mooy,MF,Australia,32,255,2,0,1,0,170,217,0,6
Aaron Ramsey,MF,Wales,31,147,2,0,1,0,88,112,0,0
Abdelhamid Sabiri,MF,Morocco,26,86,0,0,3,0,45,58,1,1
Abdelkarim Hassan,DF,Qatar,29,193,1,0,6,0,122,161,0,3
Abderrazak Hamdallah,FW,Morocco,32,28,2,0,2,1,8,15,0,0
Abdessamad Ezzalzouli,FW,Morocco,21,40,1,0,1,0,10,13,0,2
Abdou Diallo,DF,Senegal,26,210,0,0,1,0,139,186,0,2
Abdul Fatawu Issahaku,FW,Ghana,18,2,0,0,0,0,1,1,0,0
Abdulaziz Hatem,MF,Qatar,32,98,1,0,1,1,72,91,0,1
Abdulelah Al-Amri,DF,Saudi Arabia,25,129,0,0,1,0,74,104,0,0
Abdulellah Al-Malki,MF,Saudi Arabia,28,105,0,0,2,0,66,84,0,1
Abdullah Madu,DF,Saudi Arabia,29,19,0,0,0,0,5,13,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27,22,0,0,1,0,8,13,0,3
Abolfazl Jalali,DF,IR Iran,24,34,1,0,0,0,20,29,0,0
Achraf Hakimi,DF,Morocco,24,478,2,0,4,1,312,382,1,17
Agustín Canobbio,MF,Uruguay,24,11,0,0,0,0,5,7,0,1
Ahmad Nourollahi,MF,IR Iran,29,85,1,0,5,1,35,54,0,3
Ahmed Alaaeldin,FW,Qatar,29,2,0,0,0,0,0,2,0,0
Aimen Dahmen,GK,Tunisia,25,82,0,0,0,0,48,77,0,0
Ajdin Hrustic,MF,Australia,26,32,1,0,1,0,17,21,0,0
Akram Afif,FW,Qatar,26,181,3,0,2,0,139,165,0,0
Alan Franco,MF,Ecuador,24,16,0,0,0,0,10,11,0,0
Alejandro Balde,DF,Spain,19,135,0,0,1,0,112,123,0,6
Alex Sandro,DF,Brazil,31,193,1,0,1,0,150,169,0,3
Alex Telles,DF,Brazil,30,46,0,0,0,0,33,42,0,2
Alexander Bah,DF,Denmark,25,65,0,0,2,0,37,53,0,4
Alexander Djiku,DF,Ghana,28,43,0,0,0,0,22,28,0,1
Alexis Vega,FW,Mexico,25,85,1,0,9,2,40,56,0,0
Ali Abdi,DF,Tunisia,28,152,1,0,0,0,72,116,0,5
Ali Al Hassan,MF,Saudi Arabia,25,15,0,0,1,0,4,7,0,1
Ali Al-Bulaihi,DF,Saudi Arabia,33,110,0,0,0,0,78,97,0,2
Ali Assadalla,MF,Qatar,29,24,1,0,0,0,21,23,0,0
Ali Gholizadeh,MF,IR Iran,26,86,4,0,1,0,46,72,1,0
Ali Karimi,MF,IR Iran,28,55,0,0,0,0,34,45,0,3
Ali Maâloul,DF,Tunisia,32,70,0,0,0,0,39,63,0,1
Alidu Seidu,DF,Ghana,22,98,4,0,1,0,59,78,0,4
Alireza Beiranvand,GK,IR Iran,30,34,0,0,0,0,20,31,0,0
Alireza Jahanbakhsh,MF,IR Iran,29,27,1,0,3,0,11,17,0,1
Alisson,GK,Brazil,30,101,0,0,0,0,80,93,0,0
Alistair Johnston,DF,Canada,24,209,1,0,2,1,147,186,0,3
Almoez Ali,FW,Qatar,26,66,0,0,3,1,33,45,0,0
Amadou Onana,MF,Belgium,21,74,1,0,2,0,58,64,0,1
Anass Zaroury,FW,Morocco,22,15,1,0,0,0,8,13,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27,159,4,0,1,1,113,130,1,0
Andreas Cornelius,FW,Denmark,29,48,1,0,5,2,21,34,0,0
Andreas Skov Olsen,FW,Denmark,22,76,0,0,4,1,43,63,0,0
Andries Noppert,GK,Netherlands,28,205,0,0,0,0,157,192,0,0
Andrija Živković,DF,Serbia,26,118,0,0,1,0,71,96,2,3
André Onana,GK,Cameroon,26,60,0,0,0,0,45,59,0,0
André Silva,FW,Portugal,27,14,0,0,0,0,9,11,0,0
Andrés Guardado,MF,Mexico,36,22,0,0,0,0,11,16,0,2
Anis Ben Slimane,MF,Tunisia,21,72,0,0,1,1,29,46,0,1
Ansu Fati,FW,Spain,20,33,0,0,0,0,25,29,0,1
Ante Budimir,FW,Croatia,31,12,0,0,1,0,2,5,0,1
Anthony Contreras,FW,Costa Rica,22,38,0,0,0,0,15,26,0,2
Antoine Griezmann,MF,France,31,381,4,0,6,2,258,329,3,8
Antoine Semenyo,FW,Ghana,22,6,0,0,1,0,1,2,0,0
Antonee Robinson,DF,United States,25,288,4,0,0,0,173,241,0,4
Antonio Rüdiger,DF,Germany,29,273,0,0,6,1,229,252,0,1
Antony,FW,Brazil,22,145,4,0,6,2,86,109,0,0
António Silva,DF,Portugal,19,67,0,0,0,0,60,62,0,1
Ardon Jasari,FW,Switzerland,20,8,0,0,0,0,5,6,0,0
Arkadiusz Milik,FW,Poland,28,39,1,0,1,0,19,29,0,0
Artur Jędrzejczyk,DF,Poland,35,5,0,0,0,0,3,4,0,0
Asiri Haitham,FW,Saudi Arabia,21,5,0,0,0,0,1,2,0,0
Assim Madibo,MF,Qatar,26,85,0,0,0,0,58,70,0,3
Atiba Hutchinson,MF,Canada,39,131,1,0,2,0,100,112,0,1
Awer Mabil,MF,Australia,27,18,0,0,0,0,10,14,0,0
Axel Disasi,DF,France,24,90,1,0,1,0,61,78,0,2
Axel Witsel,MF,Belgium,33,200,0,0,1,0,169,177,0,2
Ayase Ueda,FW,Japan,24,23,0,0,0,0,7,12,0,0
Aymeric Laporte,DF,Spain,28,456,0,0,1,0,413,438,0,0
Aziz Behich,DF,Australia,32,249,8,0,2,0,152,203,0,3
Azzedine Ounahi,MF,Morocco,22,328,10,0,6,1,216,265,0,8
Aïssa Laïdouni,MF,Tunisia,26,156,1,0,2,0,99,123,1,3
Baba Rahman,DF,Ghana,28,121,1,0,0,0,66,100,0,3
Badr Banoun,DF,Morocco,29,28,0,0,0,0,21,22,0,0
Bailey Wright,DF,Australia,30,5,0,0,0,0,1,3,0,0
Bartosz Bereszyński,DF,Poland,30,197,1,0,0,0,122,156,0,2
Bassam Al-Rawi,DF,Qatar,25,68,1,0,0,0,47,57,0,0
Ben Davies,DF,Wales,29,184,2,0,3,2,122,161,0,2
Benjamin Pavard,DF,France,26,94,0,0,0,0,82,90,0,0
Bernardo Silva,MF,Portugal,28,309,1,0,1,0,256,292,0,2
Bilal El Khannous,MF,Morocco,18,29,0,0,0,0,20,24,0,0
Borna Barišić,DF,Croatia,30,81,0,0,1,0,50,69,0,1
Borna Sosa,DF,Croatia,24,333,2,0,2,0,220,278,0,6
Boualem Khoukhi,DF,Qatar,32,232,0,0,0,0,169,197,0,2
Brandon Aguilera,MF,Costa Rica,19,44,2,0,0,0,27,38,0,0
Brenden Aaronson,MF,United States,22,78,2,0,1,0,41,50,0,2
Brennan Johnson,FW,Wales,21,33,0,0,3,1,10,17,0,0
Bruno Guimarães,MF,Brazil,25,67,2,0,5,2,43,54,0,0
Bryan Mbeumo,FW,Cameroon,23,106,1,0,2,2,49,85,0,0
Bryan Oviedo,DF,Costa Rica,32,112,0,0,0,0,67,89,0,5
Bryan Ruiz,MF,Costa Rica,37,14,1,0,0,0,8,12,0,1
Callum Wilson,FW,England,30,16,0,0,0,0,9,10,1,0
Cameron Carter-Vickers,DF,United States,24,64,0,0,0,0,50,58,0,0
Carlos Gruezo,MF,Ecuador,27,19,0,0,0,0,15,15,0,2
Carlos Martínez,DF,Costa Rica,23,20,0,0,0,0,10,15,0,1
Celso Borges,MF,Costa Rica,34,143,2,0,0,0,98,120,0,1
Charles De Ketelaere,FW,Belgium,21,6,0,0,0,0,3,4,0,0
Charly Rodríguez,MF,Mexico,25,36,2,0,0,0,21,30,0,0
Cheikhou Kouyaté,MF,Senegal,32,34,1,0,0,0,19,23,0,0
Cho Yumin,FW,Korea Republic,26,0,0,0,0,0,0,0,0,0
Chris Mepham,DF,Wales,25,199,0,0,0,0,141,172,0,6
Christian Bassogog,MF,Cameroon,27,13,2,0,0,0,5,9,0,0
Christian Eriksen,MF,Denmark,30,253,0,0,4,1,188,230,0,0
Christian Fassnacht,FW,Switzerland,29,12,2,0,1,1,7,10,0,0
Christian Nørgaard,MF,Denmark,28,15,0,0,0,0,14,15,0,0
Christopher Wooh,DF,Cameroon,21,45,0,0,1,0,25,31,0,0
Collins Fai,DF,Cameroon,30,169,0,0,1,0,99,146,0,2
Connor Roberts,DF,Wales,27,138,0,0,0,0,92,118,0,3
Cristian Romero,DF,Argentina,24,428,1,0,0,0,337,375,0,3
Cyle Larin,FW,Canada,27,44,1,0,3,1,21,29,0,0
César Azpilicueta,DF,Spain,33,185,0,0,0,0,171,181,1,0
César Montes,DF,Mexico,25,222,2,0,1,0,159,197,1,3
Daichi Kamada,FW,Japan,26,139,3,0,6,1,83,104,0,3
Damian Szymański,MF,Poland,27,9,0,0,0,0,8,8,0,0
Dani Alves,DF,Brazil,39,113,1,0,3,0,83,97,0,4
Dani Carvajal,DF,Spain,30,137,0,0,0,0,121,135,0,1
Daniel Amartey,DF,Ghana,27,172,1,0,1,0,128,141,0,4
Daniel Chacón,MF,Costa Rica,21,2,0,0,0,0,1,1,0,0
Daniel James,FW,Wales,25,49,1,0,0,0,24,36,0,1
Daniel Kyereh,MF,Ghana,26,31,2,0,0,0,18,23,0,2
Danilo,DF,Brazil,31,289,1,0,2,0,230,269,0,2
Danilo Pereira,DF,Portugal,31,87,1,0,0,0,68,78,0,2
Danny Ward,GK,Wales,29,42,0,0,0,0,24,39,0,0
Darko Lazović,DF,Serbia,32,14,0,0,1,0,7,12,0,0
Darwin Núñez,FW,Uruguay,23,85,0,0,3,1,35,56,0,2
David Raum,DF,Germany,24,229,2,0,0,0,153,195,1,3
David Wotherspoon,MF,Canada,32,9,1,0,0,0,4,7,0,0
Dayot Upamecano,DF,France,24,393,0,0,1,0,314,351,0,7
DeAndre Yedlin,DF,United States,29,32,0,0,0,0,19,28,0,1
Declan Rice,MF,England,23,362,0,0,0,0,300,322,0,5
Dejan Lovren,DF,Croatia,33,515,0,0,4,0,405,460,1,2
Denis Odoi,DF,Ghana,34,7,0,0,0,0,2,2,0,0
Denis Zakaria,MF,Switzerland,26,32,0,0,1,0,20,23,0,0
Devis Epassy,GK,Cameroon,29,93,0,0,0,0,57,83,0,0
Diego Godín,DF,Uruguay,36,116,0,0,1,0,87,103,0,0
Diogo Costa,GK,Portugal,23,170,0,0,0,0,113,160,0,0
Diogo Dalot,DF,Portugal,23,172,1,0,1,1,112,147,2,6
Djibril Sow,MF,Switzerland,25,115,0,0,2,0,84,97,1,1
Djorkaeff Reasco,FW,Ecuador,23,3,0,0,0,0,2,2,0,0
Dominik Livaković,GK,Croatia,27,245,0,0,0,0,194,228,0,0
Dries Mertens,MF,Belgium,35,39,1,0,3,1,22,33,0,0
Dušan Tadić,MF,Serbia,34,150,3,0,1,0,90,127,2,2
Dylan Bronn,DF,Tunisia,27,104,0,0,1,0,75,98,0,2
Eden Hazard,MF,Belgium,31,70,5,0,1,1,46,58,0,0
Ederson,GK,Brazil,29,32,0,0,0,0,28,31,0,0
Edimilson Fernandes,FW,Switzerland,26,95,0,0,1,0,65,82,0,1
Edinson Cavani,FW,Uruguay,35,44,1,0,3,0,27,37,0,0
Edouard Mendy,GK,Senegal,30,128,0,0,0,0,88,120,0,0
Edson Álvarez,MF,Mexico,25,131,1,0,1,1,86,114,0,2
Eduardo Camavinga,DF,France,20,138,1,0,0,0,88,100,0,9
Ehsan Hajsafi,MF,IR Iran,32,118,0,0,1,0,61,98,0,3
Ellyes Skhiri,MF,Tunisia,27,161,1,0,2,0,109,127,0,3
Emiliano Martínez,GK,Argentina,30,196,0,0,0,0,120,187,0,0
Enzo Ebosse,DF,Cameroon,23,49,0,0,0,0,34,38,0,2
Eray Cömert,DF,Switzerland,24,50,0,0,0,0,38,42,0,0
Eric Dier,DF,England,28,44,0,0,0,0,40,41,0,1
Erick Gutiérrez,MF,Mexico,27,34,0,0,0,0,24,29,0,1
Ethan Ampadu,MF,Wales,22,178,2,0,1,0,108,144,0,3
Everton Ribeiro,MF,Brazil,33,21,0,0,0,0,15,18,0,0
Exequiel Palacios,MF,Argentina,24,34,0,0,1,0,25,28,0,0
Fabian Frei,MF,Switzerland,33,16,0,0,0,0,9,14,0,1
Fabian Rieder,FW,Switzerland,20,32,1,0,0,0,13,26,0,2
Fabian Schär,DF,Switzerland,30,100,0,0,2,0,65,82,0,1
Fabinho,MF,Brazil,29,63,0,0,0,0,51,57,0,2
Facundo Pellistri,MF,Uruguay,20,66,0,0,1,0,32,46,0,1
Federico Valverde,MF,Uruguay,24,225,1,0,7,1,159,189,0,4
Ferjani Sassi,MF,Tunisia,30,39,2,0,1,0,25,34,0,0
Filip Kostić,DF,Serbia,30,130,0,0,1,0,72,113,0,3
Filip Mladenović,DF,Serbia,31,29,0,0,1,0,20,25,0,0
Filip Đuričić,MF,Serbia,30,9,0,0,0,0,5,6,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22,94,1,0,2,0,42,63,1,3
Fodé Ballo-Touré,DF,Senegal,25,10,0,0,0,0,5,8,0,0
Fran Karačić,DF,Australia,26,69,0,0,3,0,33,54,0,1
Francisco Calvo,DF,Costa Rica,30,121,2,0,1,0,86,104,0,4
Fred,MF,Brazil,29,98,0,0,3,1,71,83,0,3
Félix Torres Caicedo,DF,Ecuador,25,233,0,0,1,0,168,208,1,2
Gabriel Jesus,FW,Brazil,25,39,1,0,2,1,22,28,0,1
Garang Kuol,FW,Australia,18,10,0,0,1,1,3,5,0,0
Gaël Ondoua,MF,Cameroon,27,25,0,0,0,0,17,19,0,1
Georges-Kévin N'Koudou,FW,Cameroon,27,20,0,0,1,1,9,12,0,0
Germán Pezzella,DF,Argentina,31,47,0,0,1,0,42,45,0,0
Gerson Torres,MF,Costa Rica,25,25,0,0,1,0,16,16,0,0
Ghaylène Chaalali,MF,Tunisia,28,11,0,0,0,0,3,4,0,0
Gideon Mensah,DF,Ghana,24,59,0,0,0,0,36,46,1,1
Gio Reyna,FW,United States,20,42,0,0,2,0,26,38,0,0
Gleison Bremer,DF,Brazil,25,95,0,0,1,0,78,84,0,1
Gonzalo Montiel,DF,Argentina,25,95,0,0,1,0,69,81,0,2
Gonzalo Plata,MF,Ecuador,22,133,4,0,2,1,77,104,0,2
Granit Xhaka,MF,Switzerland,30,273,1,0,6,3,215,243,0,4
Gregor Kobel,GK,Switzerland,25,29,0,0,0,0,21,29,0,0
Grzegorz Krychowiak,MF,Poland,32,165,1,0,1,0,93,127,0,4
Guido Rodríguez,MF,Argentina,28,69,0,0,0,0,54,64,0,0
Guillermo Ochoa,GK,Mexico,37,112,0,0,0,0,93,109,0,0
Guillermo Varela,DF,Uruguay,29,109,0,0,0,0,62,92,0,2
Hannibal Mejbri,MF,Tunisia,19,4,0,0,0,0,2,2,0,0
Haris Seferović,FW,Switzerland,30,20,0,0,1,0,10,14,0,0
Harry Maguire,DF,England,29,445,2,0,6,1,354,407,1,3
Harry Souttar,DF,Australia,24,213,0,0,1,0,138,167,0,0
Harry Wilson,MF,Wales,25,81,0,0,2,0,48,64,0,2
Hassan Al Tambakti,DF,Saudi Arabia,23,75,0,0,0,0,40,55,0,2
Hassan Al-Haydos,MF,Qatar,32,101,2,0,1,1,65,80,0,1
Hattan Bahebri,MF,Saudi Arabia,30,7,0,0,0,0,4,7,1,0
Hernán Galíndez,GK,Ecuador,35,77,0,0,0,0,44,74,0,0
Hidemasa Morita,MF,Japan,27,192,0,0,3,1,129,157,0,0
Hiroki Ito,DF,Japan,23,64,0,0,0,0,58,63,0,0
Hiroki Sakai,MF,Japan,32,70,0,0,1,0,28,47,0,4
Hirving Lozano,FW,Mexico,27,109,5,0,6,3,42,77,0,2
Homam Ahmed,DF,Qatar,23,115,3,0,0,0,77,105,0,2
Hong Chul,DF,Korea Republic,32,24,0,0,0,0,17,20,0,0
Hossein Hosseini,GK,IR Iran,30,49,0,0,0,0,23,47,0,0
Hossein Kanaanizadegan,DF,IR Iran,28,15,0,0,0,0,8,11,0,0
Hugo Lloris,GK,France,35,203,0,0,0,0,110,182,0,0
Hwang In-beom,MF,Korea Republic,26,276,0,0,6,1,194,247,0,3
Hwang Ui-jo,FW,Korea Republic,30,18,1,0,1,0,9,11,0,0
Héctor Herrera,MF,Mexico,32,91,0,0,0,0,64,78,0,3
Héctor Moreno,DF,Mexico,34,210,0,0,1,0,165,195,0,1
Ibrahima Konaté,DF,France,23,283,0,0,2,1,216,236,0,6
